"Date","Site","Depth","kd_interp"
2015-06-18,50,5.5,-0.908693885290007
2015-06-18,50,5.8,-0.908693885290007
2015-06-18,50,6,-0.908693885290007
2015-06-18,50,6.2,-0.908693885290007
2015-06-18,50,8,-0.908693885290007
2015-06-18,50,9,-0.908693885290007
2015-06-18,50,9.3,-0.908693885290007
2015-06-19,50,0.1,-0.876689950720422
2015-06-19,50,0.8,-0.876689950720422
2015-06-19,50,1.6,-0.876689950720422
2015-06-19,50,2.8,-0.876689950720422
2015-06-19,50,3.8,-0.876689950720422
2015-06-19,50,5,-0.876689950720422
2015-06-19,50,5.2,-0.876689950720422
2015-06-19,50,5.5,-0.876689950720422
2015-06-19,50,5.8,-0.876689950720422
2015-06-19,50,6,-0.876689950720422
2015-06-19,50,6.2,-0.876689950720422
2015-06-19,50,8,-0.876689950720422
2015-06-19,50,9,-0.876689950720422
2015-06-19,50,9.3,-0.876689950720422
2015-06-22,50,0.1,-1.10913489887686
2015-06-22,50,0.8,-1.10913489887686
2015-06-22,50,1.6,-1.10913489887686
2015-06-22,50,2.8,-1.10913489887686
2015-06-22,50,3.8,-1.10913489887686
2015-06-22,50,5,-1.10913489887686
2015-06-22,50,5.2,-1.10913489887686
2015-06-22,50,5.5,-1.10913489887686
2015-06-22,50,5.8,-1.10913489887686
2015-06-22,50,6,-1.10913489887686
2015-06-22,50,6.2,-1.10913489887686
2015-06-22,50,8,-1.10913489887686
2015-06-22,50,9,-1.10913489887686
2015-06-22,50,9.3,-1.10913489887686
2015-06-23,50,0.1,NA
2015-06-23,50,0.8,NA
2015-06-23,50,1.6,NA
2015-06-23,50,2.8,NA
2015-06-23,50,3.8,NA
2015-06-23,50,5,NA
2015-06-23,50,5.2,NA
2015-06-23,50,5.5,NA
2015-06-23,50,5.8,NA
2015-06-23,50,6,NA
2015-06-23,50,6.2,NA
2015-06-23,50,8,NA
2015-06-23,50,9,NA
